1,Voyatouch,28,62,83,10/27/2016,Welch
2,Opela,29,78,67,1/19/2016,Hamilton
3,Keylex,25,63,97,8/10/2016,Payne
4,Ronstring,29,79,56,3/26/2016,Smith
5,Stringtough,26,73,96,1/21/2017,Rose
6,Konklab,27,65,3,7/11/2016,George
7,Hatity,24,84,40,1/26/2016,Ryan
8,Stronghold,16,89,96,2/19/2017,Walker
9,Cardify,15,60,15,11/26/2016,Roberts
10,Opela,21,66,4,5/1/2016,Schmidt
11,Alphazap,12,71,75,11/12/2016,Peters
12,Regrant,25,82,4,11/30/2016,Schmidt
13,Konklux,27,84,26,9/13/2016,Gonzales
14,Prodder,28,85,16,5/10/2016,Turner
15,Zathin,16,69,3,5/23/2016,Montgomery
16,Span,26,83,42,9/21/2016,Murphy
17,Cardguard,13,66,2,10/31/2016,Austin
18,Zaam-Dox,22,74,86,8/7/2016,Fuller
19,Konklab,12,70,17,5/21/2016,Griffin
20,Pannier,15,85,78,5/10/2016,Armstrong
